                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.59665,                0.46679,                0.92897,                0.96034,                0.99143,                0.98549,                0.82674,                0.60213,                0.40413,                0.92106,              0.0013512,              0.0013512,              0.0013512
                     57,                0.59133,                0.45371,                0.91396,                0.96733,                0.99074,                0.99028,                0.84666,                0.55845,                0.42519,                0.88315,              0.0013498,              0.0013498,              0.0013498
                     58,                0.60514,                0.47147,                0.92653,                 0.9763,                0.98607,                0.99435,                0.87994,                0.50567,                0.35893,                0.87064,              0.0013484,              0.0013484,              0.0013484
                     59,                0.61582,                0.46007,                0.93687,                0.98316,                0.99074,                0.98666,                0.83285,                0.61768,                0.37417,                0.96247,              0.0013469,              0.0013469,              0.0013469
                     60,                0.63136,                0.47984,                0.93705,                0.98352,                0.97222,                0.99376,                0.86115,                0.58973,                0.37455,                0.92763,              0.0013455,              0.0013455,              0.0013455
                     61,                0.61107,                0.47263,                0.93658,                0.96695,                0.98882,                0.99358,                0.88231,                0.51757,                0.35395,                0.87109,              0.0013441,              0.0013441,              0.0013441
                     62,                0.59592,                0.44845,                0.91844,                0.97735,                0.98652,                0.99054,                 0.8588,                0.59963,                 0.3868,                0.94009,              0.0013427,              0.0013427,              0.0013427
                     63,                0.58086,                0.44845,                0.91977,                0.97392,                0.96809,                 0.9826,                0.82527,                0.59431,                0.38181,                0.95937,              0.0013413,              0.0013413,              0.0013413
                     64,                0.58816,                0.44095,                0.92262,                0.97704,                 0.9772,                0.99384,                0.84935,                0.54898,                0.36674,                0.89445,              0.0013399,              0.0013399,              0.0013399
                     65,                0.59234,                 0.4365,                0.92737,                0.97278,                0.98148,                0.99192,                0.84524,                 0.5737,                0.42301,                0.90348,              0.0013385,              0.0013385,              0.0013385
                     66,                0.60453,                0.44357,                0.92264,                0.96719,                0.95542,                0.98313,                0.85506,                0.60056,                0.42264,                0.93795,               0.001337,               0.001337,               0.001337
                     67,                0.58926,                0.44415,                0.92167,                0.86796,                0.98151,                0.98894,                0.84719,                 0.5655,                0.41189,                0.90421,              0.0013356,              0.0013356,              0.0013356
                     68,                 0.5959,                0.43719,                0.92752,                0.96805,                0.98966,                0.99086,                0.87918,                 0.4933,                0.35254,                0.85659,              0.0013342,              0.0013342,              0.0013342
                     69,                0.59564,                0.44321,                0.92997,                0.98316,                0.98985,                0.99309,                0.87006,                0.51881,                0.36027,                 0.8535,              0.0013328,              0.0013328,              0.0013328
                     70,                0.58661,                 0.4393,                0.92127,                0.97481,                 0.9854,                0.99347,                0.88007,                0.54361,                0.33601,                0.87443,              0.0013314,              0.0013314,              0.0013314
                     71,                0.58191,                0.44572,                0.92032,                0.96012,                0.99219,                0.99363,                0.87991,                0.55217,                0.36088,                0.87528,                0.00133,                0.00133,                0.00133
                     72,                0.57674,                0.43784,                0.91211,                 0.9672,                0.99909,                0.98723,                0.84024,                0.56155,                0.37672,                 0.8999,              0.0013286,              0.0013286,              0.0013286
                     73,                0.57331,                0.43378,                0.91088,                0.96501,                0.98587,                0.99132,                0.86139,                0.56189,                0.37765,                 0.8949,              0.0013271,              0.0013271,              0.0013271
                     74,                 0.5865,                0.43427,                0.92295,                0.98565,                0.98148,                 0.9945,                0.86688,                0.53465,                0.34874,                0.88182,              0.0013257,              0.0013257,              0.0013257
